จูล,ยานอวกาศ,0.95
ดินแดนพันธสัญญา,เมืองบากุ,1.08
รถยนต์,จักรยาน,2.58
รูปทรงหลายหน้า,นักแสดงชาย,0.64
โรคปลอกประสาทอักเสบ,โรคปลอกประสาทอักเสบ,3.95
ช้อผิดพลาด,ระบบ,1.28
อาวุธ,หมวกนิรภัย,0.84
คนเขียนบท,โทรทัศน์,1.41
สหประชาชาติ,บัน คี มูน,1.58
สะพานซิโอเซพอล,สะพานคณิตศาสตร์,2.38
โบสถ์ใหญ่,โมเสค,1.69
การวาดภาพสีน้ำ,แปรง,1.89
ประชาธิปไตย,ระบอบกษัตริย์,2.19
เกาส์,นักวิทยาศาสตร์,1.09
วัณโรค,แอลอีดี,0.56
รถขับตัวเอง,รถอัตโนมัติ,3.7
วันสิ้นโลก,ไฟ,0.67
ความเร็ว,ไปรษณีย์,1
เครื่องเล่นเพลย์สเตชัน,เครื่องเล่นเกม Wii,3.28
แล็ปท็อป,โน๊ตบุ๊ค,3.97
แฮรี่ พ็อตเตอร์,พ่อมด,3.23
สโนว์บอร์ด,การเล่นสกี,2.98
ตัวชี้,สไลด์,1.81
เซ็นเซอร์,รังสี,2.23
ตี,กรอบ,0.55
ทฤษฎี,สมมติฐาน,2.48
วอลล์สตรีท,ตลาดเงิน,2.59
ดาร์วิน,วิวัฒนาการ,1.64
นักแสดงชาย,นักแสดงหญิง,3.11
ภาพยนตร์,โรงภาพยนตร์,2.44
เพลงชาติ,การรักชาติ,2.03
จอภาพ,จอคอมพิวเตอร์,3.47
นมเนย,น้ำผึ้ง,2.16
ภูเขาเอเวอร์เรสต์,ภูเขาเอเวอร์เรสต์,4
ชักเย่อ,บันไดงู,1.58
ยาฆ่าแมลง,แมลง,1.89
ตำรวจ,นักการเมือง,2.27
ประสาทวิทยา,ปรจิตวิทยา,2.19
แบตเตอรี่,พลังงาน,2.75
กองทหารเกียรติยศ,เครื่องเขียน,0
สไปเดอร์แมน,ถนน,0.27
คาบสมุทร,เกาะ,1.83
เส้นศูนย์สูตร,เอกวาดอร์,1.31
แผนผัง,กราฟ,2.25
การจำลอง,ศาสตร์หุ่นยนต์,1.59
ไนกี้,อดิดาส,3.16
สังคม,วัฒนธรรม,2.84
เกมกลยุทธ์,กลยุทธ์,3.13
โบสถ์,โบสถ์ใหญ่,3.75
ล่าม,ชาวต่างชาติ,2.17
ไปโอโทป,ชีววิทยา,2.67
แมกม่า,ภูเขาไฟ,2.75
การระดมสมอง,กล้องโทรทรรศน์,0.27
ระดับ,คะแนน,2.55
เพนนี,ต่อรอง,0.61
พรรคการเมือง,สมาคม,2.31
สึนามิ,ทะเล,2.14
นกกระจอกเทศ,สวนกล้วยไม้,0.06
อบเชย,ลูกอม,0.38
ไม้กวาด,ฝุ่น,2.19
แกแลคซี่,นักดาราศาสตร์,2.13
น้ำผลไม้,มิลค์เชค,2.31
มู่ลี่,ม่าน,3.38
อาชญากร,ผู้กระทำผิด,3.58
มะเร็งตับอ่อน,การทำคีโม,2.05
อดีต,มาก่อน,2.86
สหประชาชาติ,รัฐสภายุโรป,2.85
เพลง,ผู้แสดง,1.41
ปืน,โน๊ตบุ๊ค,0
สารสื่อประสาท,ม่านตา,1.77
อักษร,ปากกา,1.78
ประสานเสียง,นักร้อง,2.36
ไม้,ผ้าห่ม,0.06
ทหาร,สันติภาพ,1.69
ชาวอังกฤษ,ชาวอเมริกัน,2.78
กิ้งก่า,จระเข้,2.41
เงิน,เงินสด,3.7
ปลาหมึกพอล,ปลาหมึกยักษ์,3.48
ปฏิทิน,วันหยุด,1.98
เบส,สารเคมี,2.23
รัฐบาล,กิ้งก่า,0.13
เงินเยน,การฟอกเงิน,1.09
ดีพไมนด์,กูเกิ้ล ดีพไมนด์,2.95
หมากรุก,รุก,1.45
โคลง,ความงาม,0.8
คนงาน,สำนักงาน,1.58
เงินตรา,แลกเปลี่ยน,1.78
ใยสังเคราะห์,ฝ้าย,2.58
ศาล,ยุติธรรม,2.3
หาง,ท้าย,2.91
อุบัติเหตุ,หนังสือ,0.06
พายุ,ลม,2.77
เปียโน,ประสานเสียง,1.95
สุลต่าน,กระทรวง,0.72
ทะเลทราย,เนินทราย,2.5
การคูณ,การหาร,2.75
ไวรัส,เลือด,1.41
ยุคน้ำแข็ง,พระราชบัญญัติ,0
ดาบ,สภาพแวดล้อม,0.06
โรงเรียนประถม,ปากกา,0.78
จิ้งหรีด,ผู้สนับสนุน,0
ประติมากรรม,รูปปั้น,3.52
เว็บเบราเซอร์,ไฟร์ฟอกซ์,3.25
ฟอกซ์ เทอร์เรียร์,แคนอน,0.61
เอชเอสบีซี,ประเทศอังกฤษ,0.73
คัมภีร์ไบเบิ้ล,พระกิตติคุณ,1.81
ชุดเดรส,เต้นรำ,1.83
แถว,รายการ,2.03
กรง,คุก,3.22
เรียงความ,การบ้าน,1.95
คอมพิวเตอร์,เครื่องจักร,3.02
หมีแพนด้า,หมีขาว,3.06
โรคประสาทพิการ,จิตใจ,1.34
รณรงค์,ลิง,0.25
ค่าคงที่ฟาราเดย์,เครื่องหลัง,0.06
วัง,ตึกระฟ้า,1.56
เฮลิคอปเตอร์,เครื่องบิน,2.88
มหาวิทยาลัยเคมบริดจ์,มหาวิทยาลัยออกซ์ฟอร์ด,3.16
ธง,เสา,2.19
หน้าต่าง,หลังคา,2.14
เกมการ์ด,ร่อน,0.09
มัลแวร์,เวิร์ม,3.11
ดาวเคราะห์,ดาวฤกษ์,2.97
นักวิ่ง,นักกีฬา,3.02
เครื่องวัด,ร่ม,0.06
ไวไฟ,วิกิลีก,0.31
แล้ง,น้ำ,1.75
สนามบิน,ชิ้น,0.13
ออเคสตร้า,วงดนตรี,2.78
โมจิโต,โมฮิโต,3.05
แผนการสอน,การสอบ,2.05
ทฤษฎีบท,ทฤษฎี,3.45
โยโย,ของเล่น,2.53
พายุหิมะ,ฝน,2.05
นักประวัติศาสตร์,นักประวัติศาสตร์นิพนธ์,3.03
ซีเมนส์,รถไฟไฟฟ้า,0.41
ศตวรรษ,ปี,2.77
